,Top Level,Primary Level,Secondary Level,Full Title,ISSN,Unformatted ISSN,Product ID,Status,Change History
6724,Life Sciences,Neuroscience,Cognitive Neuroscience,Biocybernetics and Biomedical Engineering,0208-5216,02085216,11011,Active,
6726,Life Sciences,Neuroscience,Cognitive Neuroscience,Biologically Inspired Cognitive Architectures,2212-683X,2212683X,09913,Incorporated,Incorporated into Cognitive Systems Research
6731,Life Sciences,Neuroscience,Cognitive Neuroscience,Cognition,0010-0277,00100277,05257,Active,
6732,Life Sciences,Neuroscience,Cognitive Neuroscience,Cognitive Brain Research,0926-6410,09266410,05018,Incorporated,Incorporated into Brain Research
6733,Life Sciences,Neuroscience,Cognitive Neuroscience,Cognitive Psychology,0010-0285,00100285,12022,Active,
6734,Life Sciences,Neuroscience,Cognitive Neuroscience,Cognitive Science,0364-0213,03640213,07451,Transferred,Transferred to Lawrence Erlbaum Associates as of 2005
6735,Life Sciences,Neuroscience,Cognitive Neuroscience,Cognitive Systems Research,1389-0417,13890417,09913,Active,Incorporating Biologically Inspired Cognitive Architectures
6736,Life Sciences,Neuroscience,Cognitive Neuroscience,Consciousness and Cognition,1053-8100,10538100,12018,Active,
6737,Life Sciences,Neuroscience,Cognitive Neuroscience,Cortex,0010-9452,00109452,15801,Active,
6738,Life Sciences,Neuroscience,Cognitive Neuroscience,Developmental Cognitive Neuroscience,1878-9293,18789293,05648,Active,
6751,Life Sciences,Neuroscience,Cognitive Neuroscience,Neurobiology of Learning and Memory,1074-7427,10747427,12098,Active,Formerly known as Behavioral and Neural Biology
6752,Life Sciences,Neuroscience,Cognitive Neuroscience,NeuroImage,1053-8119,10538119,12097,Active,
6753,Life Sciences,Neuroscience,Cognitive Neuroscience,NeuroImage: Clinical,2213-1582,22131582,13463,Active,
6754,Life Sciences,Neuroscience,Cognitive Neuroscience,Neuropharmacology,0028-3908,00283908,00279,Active,Formerly known as International Journal of Neuropharmacology
6755,Life Sciences,Neuroscience,Cognitive Neuroscience,Neuropsychologia,0028-3932,00283932,00247,Active,
6756,Life Sciences,Neuroscience,Cognitive Neuroscience,Neuroscience & Biobehavioral Reviews,0149-7634,01497634,00831,Active,Formerly known as Biobehavioral Reviews
6762,Life Sciences,Neuroscience,Cognitive Neuroscience,Trends in Cognitive Sciences,1364-6613,13646613,02201,Active,
7589,Physical Sciences and Engineering,Computer Science,Artificial Intelligence,Advanced Bionics,2950-3876,29503876,31782,Active,
7590,Physical Sciences and Engineering,Computer Science,Artificial Intelligence,Advanced Engineering Informatics,1474-0346,14740346,02007,Active,Formerly known as Artificial Intelligence in Engineering
7591,Physical Sciences and Engineering,Computer Science,Artificial Intelligence,AI Open,2666-6510,26666510,30405,Active,
7592,Physical Sciences and Engineering,Computer Science,Artificial Intelligence,AI Thermal Fluids,3050-5852,30505852,32019,Active,
7593,Physical Sciences and Engineering,Computer Science,Artificial Intelligence,AI Thermal Fluids,3050-5852,30505852,32019,Active,
7594,Physical Sciences and Engineering,Computer Science,Artificial Intelligence,Artificial Intelligence,0004-3702,00043702,05255,Active,
7595,Physical Sciences and Engineering,Computer Science,Artificial Intelligence,Artificial Intelligence in Agriculture,2589-7217,25897217,18439,Active,
7596,Physical Sciences and Engineering,Computer Science,Artificial Intelligence,Artificial Intelligence in Engineering,0954-1810,09541810,02007,Changed Name,Continued as Advanced Engineering Informatics
7597,Physical Sciences and Engineering,Computer Science,Artificial Intelligence,Artificial Intelligence in Geosciences,2666-5441,26665441,30365,Active,
7598,Physical Sciences and Engineering,Computer Science,Artificial Intelligence,Artificial Intelligence in Medicine,0933-3657,09333657,05095,Active,
7599,Physical Sciences and Engineering,Computer Science,Artificial Intelligence,"BenchCouncil Transactions on Benchmarks, Standards and Evaluations",2772-4859,27724859,31251,Active,
7600,Physical Sciences and Engineering,Computer Science,Artificial Intelligence,Biologically Inspired Cognitive Architectures,2212-683X,2212683X,09913,Incorporated,Incorporated into Cognitive Systems Research
7601,Physical Sciences and Engineering,Computer Science,Artificial Intelligence,Biomedical Analysis,2950-435X,2950435X,31778,Active,
7602,Physical Sciences and Engineering,Computer Science,Artificial Intelligence,Biomimetic Intelligence and Robotics,2667-3797,26673797,31156,Active,
7603,Physical Sciences and Engineering,Computer Science,Artificial Intelligence,CAAI Transactions on Intelligence Technology,2468-2322,24682322,18343,Transferred,Transferred back to the society as of 2017
7604,Physical Sciences and Engineering,Computer Science,Artificial Intelligence,Cognitive Robotics,2667-2413,26672413,31149,Active,
7605,Physical Sciences and Engineering,Computer Science,Artificial Intelligence,Cognitive Science,0364-0213,03640213,07451,Transferred,Transferred to Lawrence Erlbaum Associates as of 2005
7606,Physical Sciences and Engineering,Computer Science,Artificial Intelligence,Cognitive Systems Research,1389-0417,13890417,09913,Active,Incorporating Biologically Inspired Cognitive Architectures
7607,Physical Sciences and Engineering,Computer Science,Artificial Intelligence,Data & Knowledge Engineering,0169-023X,0169023X,05265,Active,
7608,Physical Sciences and Engineering,Computer Science,Artificial Intelligence,Data Science and Management,2666-7649,26667649,30429,Active,
7609,Physical Sciences and Engineering,Computer Science,Artificial Intelligence,Design and Artificial Intelligence,3050-7413,30507413,32094,Active,
7612,Physical Sciences and Engineering,Computer Science,Artificial Intelligence,Engineering Applications of Artificial Intelligence,0952-1976,09521976,00975,Active,
7614,Physical Sciences and Engineering,Computer Science,Artificial Intelligence,Expert Systems with Applications,0957-4174,09574174,00939,Active,
7615,Physical Sciences and Engineering,Computer Science,Artificial Intelligence,Expert Systems with Applications: X,2590-1885,25901885,18477,Active,
7616,Physical Sciences and Engineering,Computer Science,Artificial Intelligence,Future Computing and Informatics Journal,2314-7288,23147288,18252,Transferred,Transferred to Taylor & Francis as of 2019
7617,Physical Sciences and Engineering,Computer Science,Artificial Intelligence,Fuzzy Sets and Systems,0165-0114,01650114,05371,Active,
7618,Physical Sciences and Engineering,Computer Science,Artificial Intelligence,Information Sciences,0020-0255,00200255,07669,Active,Incorporating Information Sciences - Applications
7619,Physical Sciences and Engineering,Computer Science,Artificial Intelligence,Information Systems,0306-4379,03064379,00236,Active,
7620,Physical Sciences and Engineering,Computer Science,Artificial Intelligence,Intelligent Geoengineering,3050-6190,30506190,32055,Active,
7622,Physical Sciences and Engineering,Computer Science,Artificial Intelligence,Intelligent Medicine,2667-1026,26671026,31107,Active,
7623,Physical Sciences and Engineering,Computer Science,Artificial Intelligence,Intelligent Oncology,2950-2616,29502616,31694,Active,
7624,Physical Sciences and Engineering,Computer Science,Artificial Intelligence,Intelligent Pharmacy,2949-866X,2949866X,31574,Active,
7625,Physical Sciences and Engineering,Computer Science,Artificial Intelligence,Intelligent Sports and Health,3050-5445,30505445,32013,Active,
7626,Physical Sciences and Engineering,Computer Science,Artificial Intelligence,International Journal of Approximate Reasoning,0888-613X,0888613X,07662,Active,
7627,Physical Sciences and Engineering,Computer Science,Artificial Intelligence,International Journal of Cognitive Computing in Engineering,2666-3074,26663074,30285,Active,
7628,Physical Sciences and Engineering,Computer Science,Artificial Intelligence,International Journal of Electrical Power & Energy Systems,0142-0615,01420615,03044,Active,
7629,Physical Sciences and Engineering,Computer Science,Artificial Intelligence,International Journal of Human-Computer Studies,1071-5819,10715819,12608,Active,Formerly known as International Journal of Man-Machine Studies; Incorporating Knowledge Acquisition
7630,Physical Sciences and Engineering,Computer Science,Artificial Intelligence,International Journal of Intelligent Networks,2666-6030,26666030,30392,Active,
7631,Physical Sciences and Engineering,Computer Science,Artificial Intelligence,Journal of Automation and Intelligence,2949-8554,29498554,31565,Active,
7633,Physical Sciences and Engineering,Computer Science,Artificial Intelligence,Journal of Responsible Technology,2666-6596,26666596,30406,Active,
7634,Physical Sciences and Engineering,Computer Science,Artificial Intelligence,Journal of Symbolic Computation,0747-7171,07477171,12654,Active,
7635,Physical Sciences and Engineering,Computer Science,Artificial Intelligence,Knowledge-Based Systems,0950-7051,09507051,05293,Active,
7636,Physical Sciences and Engineering,Computer Science,Artificial Intelligence,Machine Learning with Applications,2666-8270,26668270,30455,Active,
7638,Physical Sciences and Engineering,Computer Science,Artificial Intelligence,Natural Language Processing Journal,2949-7191,29497191,31494,Active,
7639,Physical Sciences and Engineering,Computer Science,Artificial Intelligence,Neural Networks,0893-6080,08936080,00841,Active,
7640,Physical Sciences and Engineering,Computer Science,Artificial Intelligence,Neurocomputing,0925-2312,09252312,05301,Active,
7643,Physical Sciences and Engineering,Computer Science,Artificial Intelligence,Robotics and Autonomous Systems,0921-8890,09218890,05309,Active,Formerly known as Robotics
7644,Physical Sciences and Engineering,Computer Science,Artificial Intelligence,Robotics and Computer-Integrated Manufacturing,0736-5845,07365845,00704,Active,Incorporating Computer Integrated Manufacturing Systems
7645,Physical Sciences and Engineering,Computer Science,Artificial Intelligence,Smart Underground Engineering,3050-614X,3050614X,32051,Active,
7646,Physical Sciences and Engineering,Computer Science,Artificial Intelligence,Smart Underground Engineering,3050-614X,3050614X,32051,Active,
7647,Physical Sciences and Engineering,Computer Science,Artificial Intelligence,TAO,3050-5283,30505283,32003,Active,
7648,Physical Sciences and Engineering,Computer Science,Artificial Intelligence,The ORBIT Journal,2515-8562,25158562,30406,Changed Name,
7649,Physical Sciences and Engineering,Computer Science,Artificial Intelligence,Virtual Reality & Intelligent Hardware,2096-5796,20965796,30209,Active,
7650,Physical Sciences and Engineering,Computer Science,Computational Theory and Mathematics,Artificial Intelligence,0004-3702,00043702,05255,Active,
7651,Physical Sciences and Engineering,Computer Science,Computational Theory and Mathematics,Big Data Research,2214-5796,22145796,07502,Active,
7652,Physical Sciences and Engineering,Computer Science,Computational Theory and Mathematics,Computational Biology and Chemistry,1476-9271,14769271,00379,Active,Formerly known as Computers & Chemistry
7653,Physical Sciences and Engineering,Computer Science,Computational Theory and Mathematics,Computational Geometry,0925-7721,09257721,05258,Active,
7654,Physical Sciences and Engineering,Computer Science,Computational Theory and Mathematics,Computational Statistics & Data Analysis,0167-9473,01679473,05364,Active,
7655,Physical Sciences and Engineering,Computer Science,Computational Theory and Mathematics,"Computer Languages, Systems & Structures",1477-8424,14778424,12682,Incorporated,Formerly known as Computer Languages; Incorporated into Journal of Visual Languages & Computing
7656,Physical Sciences and Engineering,Computer Science,Computational Theory and Mathematics,Discrete Applied Mathematics,0166-218X,0166218X,05267,Active,
7657,Physical Sciences and Engineering,Computer Science,Computational Theory and Mathematics,Electronic Notes in Theoretical Computer Science,1571-0661,15710661,05486,Discontinued,Title discontinued as of 2021
7658,Physical Sciences and Engineering,Computer Science,Computational Theory and Mathematics,EURO Journal on Computational Optimization,2192-4406,21924406,31062,Active,
7659,Physical Sciences and Engineering,Computer Science,Computational Theory and Mathematics,Future Generation Computer Systems,0167-739X,0167739X,05273,Active,
7660,Physical Sciences and Engineering,Computer Science,Computational Theory and Mathematics,Fuzzy Information and Engineering,1616-8658,16168658,18086,Transferred,Transferred back to the society as of 2018
7661,Physical Sciences and Engineering,Computer Science,Computational Theory and Mathematics,High-Confidence Computing,2667-2952,26672952,31164,Active,
7662,Physical Sciences and Engineering,Computer Science,Computational Theory and Mathematics,Information and Computation,0890-5401,08905401,12048,Active,Formerly known as Information and Control
7663,Physical Sciences and Engineering,Computer Science,Computational Theory and Mathematics,Information and Control,0019-9958,00199958,12048,Changed Name,Continued as Information and Computation
7664,Physical Sciences and Engineering,Computer Science,Computational Theory and Mathematics,Information Processing Letters,0020-0190,00200190,05282,Active,
7665,Physical Sciences and Engineering,Computer Science,Computational Theory and Mathematics,Information Systems,0306-4379,03064379,00236,Active,
7666,Physical Sciences and Engineering,Computer Science,Computational Theory and Mathematics,International Journal of Electrical Power & Energy Systems,0142-0615,01420615,03044,Active,
7667,Physical Sciences and Engineering,Computer Science,Computational Theory and Mathematics,Journal of Algorithms,0196-6774,01966774,12052,Discontinued,Title discontinued as of 2010
7668,Physical Sciences and Engineering,Computer Science,Computational Theory and Mathematics,Journal of Computational Science,1877-7503,18777503,08700,Active,
7669,Physical Sciences and Engineering,Computer Science,Computational Theory and Mathematics,Journal of Computer and System Sciences,0022-0000,00220000,12059,Active,
7670,Physical Sciences and Engineering,Computer Science,Computational Theory and Mathematics,Journal of Discrete Algorithms,1570-8667,15708667,05482,Discontinued,Title discontinued as of 2019
7671,Physical Sciences and Engineering,Computer Science,Computational Theory and Mathematics,Journal of Innovation in Digital Ecosystems,2352-6645,23526645,18091,Transferred,Transferred back to the society as of 2017
7673,Physical Sciences and Engineering,Computer Science,Computational Theory and Mathematics,The Journal of Logic Programming,0743-1066,07431066,07717,Changed Name,Continued as The Journal of Logic and Algebraic Programming
7674,Physical Sciences and Engineering,Computer Science,Computational Theory and Mathematics,Journal of Logical and Algebraic Methods in Programming,2352-2208,23522208,07717,Active,Formerly known as The Journal of Logic and Algebraic Programming
7675,Physical Sciences and Engineering,Computer Science,Computational Theory and Mathematics,Journal of Parallel and Distributed Computing,0743-7315,07437315,12080,Active,
7676,Physical Sciences and Engineering,Computer Science,Computational Theory and Mathematics,Science of Computer Programming,0167-6423,01676423,05310,Active,
7677,Physical Sciences and Engineering,Computer Science,Computational Theory and Mathematics,Soft Computing Letters,2666-2221,26662221,30253,Active,
7678,Physical Sciences and Engineering,Computer Science,Computational Theory and Mathematics,Systems and Soft Computing,2772-9419,27729419,30253,Active,
7679,Physical Sciences and Engineering,Computer Science,Computational Theory and Mathematics,Theoretical Computer Science,0304-3975,03043975,05317,Active,
7680,Physical Sciences and Engineering,Computer Science,Computer Graphics and Computer-Aided Design,Computer-Aided Design,0010-4485,00104485,03014,Active,
7681,Physical Sciences and Engineering,Computer Science,Computer Graphics and Computer-Aided Design,Computer Aided Geometric Design,0167-8396,01678396,05259,Active,
7682,Physical Sciences and Engineering,Computer Science,Computer Graphics and Computer-Aided Design,Computer Graphics and Image Processing,0146-664X,0146664X,12044,Changed Name,"Continued as Computer Vision, Graphics, and Image Processing"
7683,Physical Sciences and Engineering,Computer Science,Computer Graphics and Computer-Aided Design,"Computer Vision, Graphics, and Image Processing",0734-189X,0734189X,12044,Changed Name,Formerly known as Computer Graphics and Image Processing; Continued as CVGIP: Graphical Models and Image Processing
7684,Physical Sciences and Engineering,Computer Science,Computer Graphics and Computer-Aided Design,Computers & Graphics,0097-8493,00978493,00371,Active,
7685,Physical Sciences and Engineering,Computer Science,Computer Graphics and Computer-Aided Design,Computers & Graphics: X,2590-1486,25901486,18456,Changed Name,Continued as Graphics and Visual Computing
7686,Physical Sciences and Engineering,Computer Science,Computer Graphics and Computer-Aided Design,CVGIP: Graphical Models and Image Processing,1049-9652,10499652,12044,Changed Name,"Formerly known as Computer Vision, Graphics, and Image Processing; Continued as Graphical Models and Image Processing"
7687,Physical Sciences and Engineering,Computer Science,Computer Graphics and Computer-Aided Design,Design Studies,0142-694X,0142694X,03021,Active,
7690,Physical Sciences and Engineering,Computer Science,Computer Graphics and Computer-Aided Design,Graphical Models,1524-0703,15240703,12044,Active,Formerly known as Graphical Models and Image Processing
7691,Physical Sciences and Engineering,Computer Science,Computer Graphics and Computer-Aided Design,Graphical Models and Image Processing,1077-3169,10773169,12044,Changed Name,Formerly known as CVGIP: Graphical Models and Image Processing; Continued as Graphical Models
7692,Physical Sciences and Engineering,Computer Science,Computer Graphics and Computer-Aided Design,Graphics and Visual Computing,2666-6294,26666294,18456,Discontinued,Formerly known as Computers & Graphics: X; Title discontinued as of 2023
7693,Physical Sciences and Engineering,Computer Science,Computer Graphics and Computer-Aided Design,Journal of Computational Design and Engineering,2288-4300,22884300,18134,Transferred,Transferred back to the society as of 2020
7699,Physical Sciences and Engineering,Computer Science,Computer Graphics and Computer-Aided Design,Visual Informatics,2468-502X,2468502X,18375,Active,
7700,Physical Sciences and Engineering,Computer Science,Computer Networks and Communications,Ad Hoc Networks,1570-8705,15708705,05481,Active,
7701,Physical Sciences and Engineering,Computer Science,Computer Networks and Communications,AEU - International Journal of Electronics and Communications,1434-8411,14348411,10029,Active,
7702,Physical Sciences and Engineering,Computer Science,Computer Networks and Communications,Computer Communications,0140-3664,01403664,05260,Active,
7703,Physical Sciences and Engineering,Computer Science,Computer Networks and Communications,Computer Fraud & Security,1361-3723,13613723,02065,Transferred,Formerly known as Computer Fraud & Security Bulletin; Transferred to Mark Allen Group
7704,Physical Sciences and Engineering,Computer Science,Computer Networks and Communications,Computer Fraud & Security Bulletin,0142-0496,01420496,02065,Changed Name,Continued as Computer Fraud & Security
7705,Physical Sciences and Engineering,Computer Science,Computer Networks and Communications,Computer Networks,1389-1286,13891286,05262,Active,Formerly known as Computer Networks and ISDN Systems
7706,Physical Sciences and Engineering,Computer Science,Computer Networks and Communications,Computer Networks (1976),0376-5075,03765075,05262,Changed Name,Continued as Computer Networks and ISDN Systems
7707,Physical Sciences and Engineering,Computer Science,Computer Networks and Communications,Computer Networks and ISDN Systems,0169-7552,01697552,05262,Changed Name,Formerly known as Computer Networks (1976); Continued as Computer Networks
7708,Physical Sciences and Engineering,Computer Science,Computer Networks and Communications,Computer Standards & Interfaces,0920-5489,09205489,05264,Active,Incorporating Computers and Standards and Interfaces in Computing
7709,Physical Sciences and Engineering,Computer Science,Computer Networks and Communications,Computers & Electrical Engineering,0045-7906,00457906,00367,Active,
7710,Physical Sciences and Engineering,Computer Science,Computer Networks and Communications,Computers & Security,0167-4048,01674048,02069,Active,
7711,Physical Sciences and Engineering,Computer Science,Computer Networks and Communications,Cyber Security and Applications,2772-9184,27729184,31379,Active,
7712,Physical Sciences and Engineering,Computer Science,Computer Networks and Communications,Digital Investigation,1742-2876,17422876,04064,Changed Name,Continued as Forensic Science International: Digital Investigation
7714,Physical Sciences and Engineering,Computer Science,Computer Networks and Communications,Expert Systems with Applications: X,2590-1885,25901885,18477,Active,
7715,Physical Sciences and Engineering,Computer Science,Computer Networks and Communications,Forensic Science International: Digital Investigation,2666-2817,26662817,04064,Active,Formerly known as Digital Investigation
7716,Physical Sciences and Engineering,Computer Science,Computer Networks and Communications,Future Generation Computer Systems,0167-739X,0167739X,05273,Active,
7717,Physical Sciences and Engineering,Computer Science,Computer Networks and Communications,Information Security Technical Report,1363-4127,13634127,02199,Changed Name,Continued as Journal of Information Security and Applications
7721,Physical Sciences and Engineering,Computer Science,Computer Networks and Communications,International Journal of Electrical Power & Energy Systems,0142-0615,01420615,03044,Active,
7722,Physical Sciences and Engineering,Computer Science,Computer Networks and Communications,International Journal of Intelligent Networks,2666-6030,26666030,30392,Active,
7723,Physical Sciences and Engineering,Computer Science,Computer Networks and Communications,Internet of Things and Cyber-Physical Systems,2667-3452,26673452,31174,Active,
7724,Physical Sciences and Engineering,Computer Science,Computer Networks and Communications,Journal of Computational Science,1877-7503,18777503,08700,Active,
7727,Physical Sciences and Engineering,Computer Science,Computer Networks and Communications,Journal of Information Security and Applications,2214-2126,22142126,02199,Active,Formerly known as Information Security Technical Report
7728,Physical Sciences and Engineering,Computer Science,Computer Networks and Communications,Journal of Innovation in Digital Ecosystems,2352-6645,23526645,18091,Transferred,Transferred back to the society as of 2017
7729,Physical Sciences and Engineering,Computer Science,Computer Networks and Communications,Journal of Network and Computer Applications,1084-8045,10848045,12653,Active,Formerly known as Journal of Microcomputer Applications
7730,Physical Sciences and Engineering,Computer Science,Computer Networks and Communications,Journal of Parallel and Distributed Computing,0743-7315,07437315,12080,Active,
7731,Physical Sciences and Engineering,Computer Science,Computer Networks and Communications,Journal of Systems Architecture,1383-7621,13837621,05299,Active,Formerly known as Microprocessing and Microprogramming
7732,Physical Sciences and Engineering,Computer Science,Computer Networks and Communications,Journal of Systems and Software,0164-1212,01641212,07735,Active,
7733,Physical Sciences and Engineering,Computer Science,Computer Networks and Communications,Microprocessors,0308-5953,03085953,05300,Changed Name,Continued as Microprocessors and Microsystems
7734,Physical Sciences and Engineering,Computer Science,Computer Networks and Communications,Microprocessors and Microsystems,0141-9331,01419331,05300,Active,Formerly known as Microprocessors
7735,Physical Sciences and Engineering,Computer Science,Computer Networks and Communications,Nano Communication Networks,1878-7789,18787789,08710,Active,
7736,Physical Sciences and Engineering,Computer Science,Computer Networks and Communications,Network Security,1353-4858,13534858,02158,Transferred,Transferred to Mark Allen Group as of 2022
7737,Physical Sciences and Engineering,Computer Science,Computer Networks and Communications,Online Social Networks and Media,2468-6964,24686964,18376,Active,
7738,Physical Sciences and Engineering,Computer Science,Computer Networks and Communications,Optical Fiber Technology,1068-5200,10685200,12101,Active,
7739,Physical Sciences and Engineering,Computer Science,Computer Networks and Communications,Optical Switching and Networking,1573-4277,15734277,05499,Active,
7740,Physical Sciences and Engineering,Computer Science,Computer Networks and Communications,Performance Evaluation,0166-5316,01665316,05304,Active,
7741,Physical Sciences and Engineering,Computer Science,Computer Networks and Communications,Pervasive and Mobile Computing,1574-1192,15741192,05505,Active,
7742,Physical Sciences and Engineering,Computer Science,Computer Networks and Communications,Physical Communication,1874-4907,18744907,08626,Active,
7743,Physical Sciences and Engineering,Computer Science,Computer Networks and Communications,Smart Health,2352-6483,23526483,18861,Active,
7744,Physical Sciences and Engineering,Computer Science,Computer Networks and Communications,Telematics and Informatics,0736-5853,07365853,00703,Active,
7745,Physical Sciences and Engineering,Computer Science,Computer Networks and Communications,Telematics and Informatics Reports,2772-5030,27725030,31253,Active,
7746,Physical Sciences and Engineering,Computer Science,Computer Networks and Communications,Vehicular Communications,2214-2096,22142096,14153,Active,
7747,Physical Sciences and Engineering,Computer Science,Computer Science (General),Applied Computing and Informatics,2210-8327,22108327,08742,Transferred,Transferred back to the society as of 2020
7748,Physical Sciences and Engineering,Computer Science,Computer Science (General),Array,2590-0056,25900056,30002,Active,
7749,Physical Sciences and Engineering,Computer Science,Computer Science (General),Cell Genomics,2666-979X,2666979X,31055,Active,
7750,Physical Sciences and Engineering,Computer Science,Computer Science (General),Cognitive Robotics,2667-2413,26672413,31149,Active,
7751,Physical Sciences and Engineering,Computer Science,Computer Science (General),Computer Audit Update,0960-2593,09602593,02111,Discontinued,Title discontinued as of 1998
7752,Physical Sciences and Engineering,Computer Science,Computer Science (General),Computer Compacts,0167-7136,01677136,00000,Discontinued,Title discontinued as of 1987
7753,Physical Sciences and Engineering,Computer Science,Computer Science (General),Computer Law & Security Review,0267-3649,02673649,02066,Active,
7754,Physical Sciences and Engineering,Computer Science,Computer Science (General),Computer Methods and Programs in Biomedicine,0169-2607,01692607,08010,Active,Formerly known as Computer Programs in Biomedicine
7755,Physical Sciences and Engineering,Computer Science,Computer Science (General),Computer Science Review,1574-0137,15740137,14035,Active,
7756,Physical Sciences and Engineering,Computer Science,Computer Science (General),Computers & Mathematics with Applications,0898-1221,08981221,00301,Active,
7757,Physical Sciences and Engineering,Computer Science,Computer Science (General),Computers & Operations Research,0305-0548,03050548,00300,Active,Incorporating Location Science and Surveys in Operations Research and Management Science
7758,Physical Sciences and Engineering,Computer Science,Computer Science (General),Computers and Standards,0167-8051,01678051,05264,Incorporated,Incorporated into Computer Standards & Interfaces
7759,Physical Sciences and Engineering,Computer Science,Computer Science (General),Computing Systems in Engineering,0956-0521,09560521,02000,Incorporated,Incorporated into Advances in Engineering Software
7761,Physical Sciences and Engineering,Computer Science,Computer Science (General),Design and Artificial Intelligence,3050-7413,30507413,32094,Active,
7762,Physical Sciences and Engineering,Computer Science,Computer Science (General),Design Science Vision,2950-2624,29502624,31695,Active,
7763,Physical Sciences and Engineering,Computer Science,Computer Science (General),Digital Engineering,2950-550X,2950550X,31822,Active,
7764,Physical Sciences and Engineering,Computer Science,Computer Science (General),Education and Computing,0167-9287,01679287,05271,Discontinued,Title discontinued as of 1994
7765,Physical Sciences and Engineering,Computer Science,Computer Science (General),Egyptian Informatics Journal,1110-8665,11108665,08716,Active,
7766,Physical Sciences and Engineering,Computer Science,Computer Science (General),Electronic Notes in Theoretical Computer Science,1571-0661,15710661,05486,Discontinued,Title discontinued as of 2021
7767,Physical Sciences and Engineering,Computer Science,Computer Science (General),Engineering,2095-8099,20958099,18313,Active,
7769,Physical Sciences and Engineering,Computer Science,Computer Science (General),Environmental Science and Ecotechnology,2666-4984,26664984,30339,Active,
7770,Physical Sciences and Engineering,Computer Science,Computer Science (General),European Journal of Operational Research,0377-2217,03772217,05369,Active,
7771,Physical Sciences and Engineering,Computer Science,Computer Science (General),Future Generation Computer Systems,0167-739X,0167739X,05273,Active,
7772,Physical Sciences and Engineering,Computer Science,Computer Science (General),Heliyon,2405-8440,24058440,18230,Active,
7773,Physical Sciences and Engineering,Computer Science,Computer Science (General),IMPACT of Computing in Science and Engineering,0899-8248,08998248,00000,Discontinued,Title discontinued as of 1994
7774,Physical Sciences and Engineering,Computer Science,Computer Science (General),Informatics in Medicine Unlocked,2352-9148,23529148,18129,Active,
7775,Physical Sciences and Engineering,Computer Science,Computer Science (General),Intelligent Systems with Applications,2667-3053,26673053,18477,Active,
7776,Physical Sciences and Engineering,Computer Science,Computer Science (General),Interfaces in Computing,0252-7308,02527308,05264,Incorporated,Incorporated into Computer Standards & Interfaces
7777,Physical Sciences and Engineering,Computer Science,Computer Science (General),Internet of Things,2542-6605,25426605,18410,Active,
7778,Physical Sciences and Engineering,Computer Science,Computer Science (General),Journal of Economy and Technology,2949-9488,29499488,31619,Active,
7779,Physical Sciences and Engineering,Computer Science,Computer Science (General),Journal of Digital Economy,2773-0670,27730670,31424,Active,
7780,Physical Sciences and Engineering,Computer Science,Computer Science (General),Journal of the Egyptian Mathematical Society,1110-256X,1110256X,08789,Transferred,Transferred back to the society as of 2018
7781,Physical Sciences and Engineering,Computer Science,Computer Science (General),Journal of King Saud University - Computer and Information Sciences,1319-1578,13191578,08746,Active,
7782,Physical Sciences and Engineering,Computer Science,Computer Science (General),Karbala International Journal of Modern Science,2405-609X,2405609X,18164,Transferred,Title hosted on Digital Commons as of 2019
7783,Physical Sciences and Engineering,Computer Science,Computer Science (General),Measurement: Food,2772-2759,27722759,31193,Active,
7784,Physical Sciences and Engineering,Computer Science,Computer Science (General),Measurement: Digitalization,3050-6441,30506441,32061,Active,
7785,Physical Sciences and Engineering,Computer Science,Computer Science (General),New Scientist,0262-4079,02624079,NEWS,Active,
7786,Physical Sciences and Engineering,Computer Science,Computer Science (General),Next Research,3050-4759,30504759,31960,Active,
7787,Physical Sciences and Engineering,Computer Science,Computer Science (General),Operations Research Perspectives,2214-7160,22147160,17040,Active,
7788,Physical Sciences and Engineering,Computer Science,Computer Science (General),Physical Communication,1874-4907,18744907,08626,Active,
7789,Physical Sciences and Engineering,Computer Science,Computer Science (General),Procedia Computer Science,1877-0509,18770509,08677,Active,
7790,Physical Sciences and Engineering,Computer Science,Computer Science (General),Procedia Technology,2212-0173,22120173,12983,Discontinued,Title discontinued as of 2018
7791,Physical Sciences and Engineering,Computer Science,Computer Science (General),Science Talks,2772-5693,27725693,31268,Active,
7792,Physical Sciences and Engineering,Computer Science,Computer Science (General),Simulation Modelling Practice and Theory,1569-190X,1569190X,05314,Active,Formerly known as Simulation Practice and Theory
7793,Physical Sciences and Engineering,Computer Science,Computer Science (General),Simulation Practice and Theory,0928-4869,09284869,05314,Changed Name,Continued as Simulation Modelling Practice and Theory
7794,Physical Sciences and Engineering,Computer Science,Computer Science (General),Sustainable Computing: Informatics and Systems,2210-5379,22105379,12935,Active,
7795,Physical Sciences and Engineering,Computer Science,Computer Science (General),Swarm and Evolutionary Computation,2210-6502,22106502,08724,Active,
7796,Physical Sciences and Engineering,Computer Science,Computer Science (General),USSR Computational Mathematics and Mathematical Physics,0041-5553,00415553,00283,Transferred,Transferred to the Russian Academy of Sciences as of 1991
7797,Physical Sciences and Engineering,Computer Science,Computer Science (General),Virtual Reality & Intelligent Hardware,2096-5796,20965796,30209,Active,
7798,Physical Sciences and Engineering,Computer Science,Computer Science Applications,AI Open,2666-6510,26666510,30405,Active,
