,Unnamed: 0,Top Level,Primary Level,Secondary Level,Full Title,ISSN,Unformatted ISSN,Product ID,Status,Change History
1088,11009,Social Sciences and Humanities,Decision Sciences,Management Science and Operations Research,Handbooks in Operations Research and Management Science,0927-0507,09270507,08671,Changed Name,Continued as Surveys in Operations Research and Management Science
1090,11011,Social Sciences and Humanities,Decision Sciences,Management Science and Operations Research,International Journal of Production Economics,0925-5273,09255273,05380,Active,Formerly known as Engineering Costs and Production Economics
1091,11012,Social Sciences and Humanities,Decision Sciences,Management Science and Operations Research,International Journal of Project Management,0263-7863,02637863,03047,Active,
1092,11013,Social Sciences and Humanities,Decision Sciences,Management Science and Operations Research,International Transactions in Operational Research,0969-6016,09696016,00134,Transferred,Transferred to Blackwell as of 2001
1093,11014,Social Sciences and Humanities,Decision Sciences,Management Science and Operations Research,Journal of Engineering and Technology Management,0923-4748,09234748,05392,Active,Formerly known as Engineering Management International
1095,11016,Social Sciences and Humanities,Decision Sciences,Management Science and Operations Research,Journal of Industrial Information Integration,2452-414X,2452414X,18297,Active,
1096,11017,Social Sciences and Humanities,Decision Sciences,Management Science and Operations Research,"Journal of Open Innovation: Technology, Market, and Complexity",2199-8531,21998531,31515,Active,
1097,11018,Social Sciences and Humanities,Decision Sciences,Management Science and Operations Research,Journal of Operations Management,0272-6963,02726963,05400,Transferred,Transferred to Wiley as of 2019
1098,11019,Social Sciences and Humanities,Decision Sciences,Management Science and Operations Research,Journal of Purchasing and Supply Management,1478-4092,14784092,03028,Active,Formerly known as European Journal of Purchasing & Supply Management
1102,11025,Social Sciences and Humanities,Decision Sciences,Management Science and Operations Research,Machine Learning with Applications,2666-8270,26668270,30455,Active,
1103,11026,Social Sciences and Humanities,Decision Sciences,Management Science and Operations Research,Omega,0305-0483,03050483,00375,Active,
1104,11027,Social Sciences and Humanities,Decision Sciences,Management Science and Operations Research,"Operations Research, Data Analytics and Logistics",3050-7847,30507847,12972,Active,
1106,11029,Social Sciences and Humanities,Decision Sciences,Management Science and Operations Research,Operations Research Letters,0167-6377,01676377,05412,Active,
1110,11033,Social Sciences and Humanities,Decision Sciences,Management Science and Operations Research,Research Policy,0048-7333,00487333,05415,Active,
1111,11034,Social Sciences and Humanities,Decision Sciences,Management Science and Operations Research,Research in Transportation Business & Management,2210-5395,22105395,12904,Active,
1112,11035,Social Sciences and Humanities,Decision Sciences,Management Science and Operations Research,Socio-Economic Planning Sciences,0038-0121,00380121,00317,Active,
1113,11036,Social Sciences and Humanities,Decision Sciences,Management Science and Operations Research,Surveys in Operations Research and Management Science,1876-7354,18767354,00300,Incorporated,Formerly known as Handbooks in Operations Research and Management Science; Incorporated into Computers & Operations Research;
1114,11037,Social Sciences and Humanities,Decision Sciences,Management Science and Operations Research,Sustainability Analytics and Modeling,2667-2596,26672596,31153,Active,
1118,11041,Social Sciences and Humanities,Decision Sciences,Management Science and Operations Research,Systems Engineering Procedia,2211-3819,22113819,12948,Discontinued,Title discontinued as of 2013
1119,11042,Social Sciences and Humanities,Decision Sciences,Management Science and Operations Research,Systems Engineering – Theory & Practice,1874-8651,18748651,08642,Discontinued,Title discontinued as of 2010
1121,11044,Social Sciences and Humanities,Decision Sciences,Management Science and Operations Research,Technological Forecasting and Social Change,0040-1625,00401625,07771,Active,Formerly known as Technological Forecasting
1122,11045,Social Sciences and Humanities,Decision Sciences,Management Science and Operations Research,Technovation,0166-4972,01664972,02109,Active,
1127,11050,Social Sciences and Humanities,Decision Sciences,Management Science and Operations Research,Transportation Research Part E: Logistics and Transportation Review,1366-5545,13665545,01012,Active,
1128,11051,Social Sciences and Humanities,Decision Sciences,"Statistics, Probability and Uncertainty",Computational Statistics & Data Analysis,0167-9473,01679473,05364,Active,
1130,11053,Social Sciences and Humanities,Decision Sciences,"Statistics, Probability and Uncertainty",Fuzzy Sets and Systems,0165-0114,01650114,05371,Active,
1131,11054,Social Sciences and Humanities,Decision Sciences,"Statistics, Probability and Uncertainty",Information Sciences,0020-0255,00200255,07669,Active,Incorporating Information Sciences - Applications
1134,11057,Social Sciences and Humanities,Decision Sciences,"Statistics, Probability and Uncertainty",International Journal of Approximate Reasoning,0888-613X,0888613X,07662,Active,
1135,11058,Social Sciences and Humanities,Decision Sciences,"Statistics, Probability and Uncertainty",International Transactions in Operational Research,0969-6016,09696016,00134,Transferred,Transferred to Blackwell as of 2001
1138,11061,Social Sciences and Humanities,Decision Sciences,"Statistics, Probability and Uncertainty","Journal of Open Innovation: Technology, Market, and Complexity",2199-8531,21998531,31515,Active,
1141,11064,Social Sciences and Humanities,Decision Sciences,"Statistics, Probability and Uncertainty",Operations Research Letters,0167-6377,01676377,05412,Active,
1144,11068,Social Sciences and Humanities,Decision Sciences,"Statistics, Probability and Uncertainty",Socio-Economic Planning Sciences,0038-0121,00380121,00317,Active,
1150,11074,Social Sciences and Humanities,Decision Sciences,"Statistics, Probability and Uncertainty",Surveys in Operations Research and Management Science,1876-7354,18767354,00300,Incorporated,Formerly known as Handbooks in Operations Research and Management Science; Incorporated into Computers & Operations Research;
1169,11218,Social Sciences and Humanities,"Economics, Econometrics and Finance","Economics, Econometrics and Finance (General)",International Journal of Forecasting,0169-2070,01692070,05378,Active,
1175,11224,Social Sciences and Humanities,"Economics, Econometrics and Finance","Economics, Econometrics and Finance (General)",Journal of Behavioral and Experimental Economics,2214-8043,22148043,07430,Active,Formerly known as The Journal of Socio-Economics
1176,11225,Social Sciences and Humanities,"Economics, Econometrics and Finance","Economics, Econometrics and Finance (General)",Journal of Behavioral and Experimental Finance,2214-6350,22146350,17034,Active,
1178,11227,Social Sciences and Humanities,"Economics, Econometrics and Finance","Economics, Econometrics and Finance (General)",Journal of Economic Behavior & Organization,0167-2681,01672681,05389,Active,
1184,11233,Social Sciences and Humanities,"Economics, Econometrics and Finance","Economics, Econometrics and Finance (General)","Journal of Open Innovation: Technology, Market, and Complexity",2199-8531,21998531,31515,Active,
1194,11243,Social Sciences and Humanities,"Economics, Econometrics and Finance","Economics, Econometrics and Finance (General)",Research in Transportation Business & Management,2210-5395,22105395,12904,Active,
1204,11310,Social Sciences and Humanities,Psychology,Applied Psychology,Applied Behavioral Science Review,1068-8595,10688595,07401,Discontinued,Title discontinued as of 2000
1205,11311,Social Sciences and Humanities,Psychology,Applied Psychology,Applied and Preventive Psychology,0962-1849,09621849,04060,Discontinued,Title discontinued as of 2013
1212,11323,Social Sciences and Humanities,Psychology,Applied Psychology,Journal of Applied Research in Memory and Cognition,2211-3681,22113681,14077,Transferred,Transferred to American Psychological Association as of 2022
1214,11325,Social Sciences and Humanities,Psychology,Applied Psychology,Journal of Behavioral and Experimental Economics,2214-8043,22148043,07430,Active,Formerly known as The Journal of Socio-Economics
1217,11330,Social Sciences and Humanities,Psychology,Applied Psychology,Journal of Economic Behavior & Organization,0167-2681,01672681,05389,Active,
1227,11341,Social Sciences and Humanities,Psychology,Applied Psychology,The Leadership Quarterly,1048-9843,10489843,07433,Active,
1229,11343,Social Sciences and Humanities,Psychology,Applied Psychology,Organizational Behavior and Human Decision Processes,0749-5978,07495978,12100,Active,Formerly known as Organizational Behavior and Human Performance
1230,11344,Social Sciences and Humanities,Psychology,Applied Psychology,Organizational Behavior and Human Performance,0030-5073,00305073,12100,Changed Name,Continued as Organizational Behavior and Human Decision Processes
1231,11345,Social Sciences and Humanities,Psychology,Applied Psychology,Organizational Dynamics,0090-2616,00902616,07753,Active,
1235,11349,Social Sciences and Humanities,Psychology,Applied Psychology,Psychologie du Travail et des Organisations,1420-2530,14202530,09157,Active,
1238,11352,Social Sciences and Humanities,Psychology,Applied Psychology,Research in Organizational Behavior,0191-3085,01913085,12702,Active,
1243,11357,Social Sciences and Humanities,Psychology,Applied Psychology,Revista de Psicología del Trabajo y de las Organizaciones,1576-5962,15765962,15819,Transferred,Transferred back to the society as of 2018
1247,11361,Social Sciences and Humanities,Psychology,Applied Psychology,Technological Forecasting and Social Change,0040-1625,00401625,07771,Active,Formerly known as Technological Forecasting
1250,11468,Social Sciences and Humanities,Psychology,Experimental and Cognitive Psychology,Advances in Behaviour Research and Therapy,0146-6402,01466402,00458,Discontinued,Title discontinued as of 1995
1264,11488,Social Sciences and Humanities,Psychology,Experimental and Cognitive Psychology,International Journal of Human-Computer Studies,1071-5819,10715819,12608,Active,Formerly known as International Journal of Man-Machine Studies; Incorporating Knowledge Acquisition
1265,11489,Social Sciences and Humanities,Psychology,Experimental and Cognitive Psychology,International Journal of Man-Machine Studies,0020-7373,00207373,12608,Changed Name,Continued as International Journal of Human-Computer Studies
1266,11492,Social Sciences and Humanities,Psychology,Experimental and Cognitive Psychology,Journal of Applied Research in Memory and Cognition,2211-3681,22113681,14077,Transferred,Transferred to American Psychological Association as of 2022
1267,11493,Social Sciences and Humanities,Psychology,Experimental and Cognitive Psychology,Journal of Behavioral and Cognitive Therapy,2589-9791,25899791,15573,Active,Formerly known as Journal de Thérapie Comportementale et Cognitive
1268,11494,Social Sciences and Humanities,Psychology,Experimental and Cognitive Psychology,Journal of Behavioral and Experimental Finance,2214-6350,22146350,17034,Active,
1293,11554,Social Sciences and Humanities,Psychology,Psychology (General),Computers in Human Behavior: Artificial Humans,2949-8821,29498821,31576,Active,
1294,11555,Social Sciences and Humanities,Psychology,Psychology (General),Computers in Human Behavior Reports,2451-9588,24519588,30292,Active,
1337,11615,Social Sciences and Humanities,Psychology,Social Psychology,Journal of Behavioral and Experimental Finance,2214-6350,22146350,17034,Active,
1343,11627,Social Sciences and Humanities,Psychology,Social Psychology,Organizational Behavior and Human Decision Processes,0749-5978,07495978,12100,Active,Formerly known as Organizational Behavior and Human Performance
1345,11629,Social Sciences and Humanities,Psychology,Social Psychology,Psychologie du Travail et des Organisations,1420-2530,14202530,09157,Active,
1358,11961,Social Sciences and Humanities,Social Sciences,Human Factors and Ergonomics,International Journal of Human-Computer Studies,1071-5819,10715819,12608,Active,Formerly known as International Journal of Man-Machine Studies; Incorporating Knowledge Acquisition
1360,11963,Social Sciences and Humanities,Social Sciences,Human Factors and Ergonomics,International Journal of Man-Machine Studies,0020-7373,00207373,12608,Changed Name,Continued as International Journal of Human-Computer Studies
1367,11971,Social Sciences and Humanities,Social Sciences,Human Factors and Ergonomics,Technology in Society,0160-791X,0160791X,00384,Active,
1379,12093,Social Sciences and Humanities,Social Sciences,Safety Research,Reliability Engineering & System Safety,0951-8320,09518320,02054,Active,Formerly known as Reliability Engineering
1392,12110,Social Sciences and Humanities,Social Sciences,Social Sciences (General),Evaluation Practice,0886-1633,08861633,07405,Changed Name,Continued as The American Journal of Evaluation
1395,12114,Social Sciences and Humanities,Social Sciences,Social Sciences (General),International Journal of Information Management Data Insights,2667-0968,26670968,31103,Active,
1402,12125,Social Sciences and Humanities,Social Sciences,Social Sciences (General),Research Talks,2667-3819,26673819,31184,Discontinued,
1406,12130,Social Sciences and Humanities,Social Sciences,Social Sciences (General),Societal Impacts,2949-6977,29496977,31483,Active,
